mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
33,3.4200000000000728,83,233,33,67,100,1,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.676146646672527,0.8380733233362635,0.265860711638748,0.6363636363636364,0.7611940298507462,0.5675675675675675,0.72,Inf,0.3333333333333333,0.9104477611940298,0.6470588235294118,0.72
34,3.430000000000291,83,233,33,67,300,1,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.676146646672527,0.8380733233362635,0.265860711638748,0.6363636363636364,0.7611940298507462,0.5675675675675675,0.72,Inf,0.3333333333333333,0.9104477611940298,0.6470588235294118,0.72
35,3.639999999999418,83,233,33,67,100,3,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.9282279331919956,0.9641139665959978,0.253628818475765,0.8787878787878788,0.7014925373134329,0.5918367346938775,0.76,0.29106458565190546,0.36363636363636365,0.9850746268656716,0.9230769230769231,0.78
36,3.6299999999991996,83,233,33,67,300,3,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.9282279331919956,0.9641139665959978,0.253628818475765,0.8787878787878788,0.7014925373134329,0.5918367346938775,0.76,0.29106458565190546,0.36363636363636365,0.9850746268656716,0.9230769230769231,0.78
37,5.829999999999927,83,233,33,67,100,7,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.9998965820362997,0.9999482910181499,0.258209055230347,0.7575757575757576,0.9104477611940298,0.8064516129032258,0.86,0.29954942876367047,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
38,5.649999999999636,83,233,33,67,300,7,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.9998965820362997,0.9999482910181499,0.258209055230347,0.7575757575757576,0.9104477611940298,0.8064516129032258,0.86,0.29954942876367047,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
39,7.199999999998909,83,233,33,67,100,10,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.257696737101232,0.7878787878787878,0.8805970149253731,0.7647058823529411,0.85,0.29970239230291396,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
40,8.669999999998254,83,233,33,67,300,10,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.257696737101232,0.7878787878787878,0.8805970149253731,0.7647058823529411,0.85,0.29970239230291396,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
41,3.3699999999989814,83,233,33,67,100,1,1,bernoulli,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.6504472826930039,0.825223641346502,0.263135251916758,0.6363636363636364,0.7164179104477612,0.525,0.69,Inf,0.45454545454545453,0.8805970149253731,0.6521739130434783,0.74
42,3.4799999999995634,83,233,33,67,300,1,1,bernoulli,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.6504472826930039,0.825223641346502,0.263135251916758,0.6363636363636364,0.7164179104477612,0.525,0.69,Inf,0.45454545454545453,0.8805970149253731,0.6521739130434783,0.74
43,3.530000000000655,83,233,33,67,100,3,1,bernoulli,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.9261595739179898,0.9630797869589949,0.261876222136032,0.8787878787878788,0.7313432835820896,0.6170212765957447,0.78,0.26551811145465803,0.36363636363636365,0.9850746268656716,0.9230769230769231,0.78
