mod_num,time_to_create,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,r_2,r_2_test,mae_test,mse_test
53,3.300000000000182,100,7,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.13147580110614443,0.08693832964659076,0.45957663736816273,0.7263763523931105
54,3.25,300,7,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.13147580110614443,0.08693832964659076,0.45957663736816273,0.7263763523931105
55,3.6099999999996726,100,10,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.1915174797275968,0.12320446091566961,0.4520452962344837,0.704282278414888
56,3.6400000000003274,300,10,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.1915174797275968,0.12320446091566961,0.4520452962344837,0.704282278414888
57,1.8400000000001455,100,1,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.004207119220562827,-0.0020365903247541173,0.47768673313201626,0.7706106132629773
58,1.819999999999709,300,1,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.004207119220562827,-0.0020365903247541173,0.47768673313201626,0.7706106132629773
59,1.8699999999998909,100,3,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.011927302837524634,0.005145223583284619,0.476151032790666,0.7670667804297531
60,1.8100000000004002,300,3,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.011927302837524634,0.005145223583284619,0.476151032790666,0.7670667804297531
61,3.2200000000002547,100,7,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.02880469240529504,0.01663352083927816,0.4738485648706992,0.7620116555176697
62,3.8900000000003274,300,7,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.02880469240529504,0.01663352083927816,0.4738485648706992,0.7620116555176697
63,3.6099999999996726,100,10,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.042064910687033885,0.02506637037656345,0.4723107637584688,0.7578146188687859
64,3.509999999999309,300,10,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.042064910687033885,0.02506637037656345,0.4723107637584688,0.7578146188687859
65,1.7700000000004366,100,1,1,gaussian,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,4.293932715180304e-4,-0.0038879947928061043,0.4778982660695502,0.7719061115912158
66,1.8500000000003638,300,1,1,gaussian,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,4.293932715180304e-4,-0.0038879947928061043,0.4778982660695502,0.7719061115912158
67,1.800000000000182,100,3,1,gaussian,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.001219134766431318,-0.003148170820217233,0.4777415863273305,0.7715469589507543
68,1.8599999999996726,300,3,1,gaussian,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.001219134766431318,-0.003148170820217233,0.4777415863273305,0.7715469589507543
69,2,100,7,1,gaussian,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.0029329096661984133,-0.001986338933176457,0.47751265847158986,0.7710543606918399
70,1.949999999999818,300,7,1,gaussian,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.0029329096661984133,-0.001986338933176457,0.47751265847158986,0.7710543606918399
71,3.350000000000364,100,10,1,gaussian,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.0043453939641682204,-0.0011150367514589643,0.47736037347313004,0.7706105467324403
72,3.4099999999998545,300,10,1,gaussian,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.0043453939641682204,-0.0011150367514589643,0.47736037347313004,0.7706105467324403
