mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,r_2,mse,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_max_accuracy,sensitivity_max_accuracy,specificity_max_accuracy,precision_max_accuracy,accuracy_max_accuracy,threshold_95_specificity,sensitivity_95_specificity,specificity_95_specificity,precision_95_specificity,accuracy_95_specificity,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
126,4.345000000001164,436,635,161,180,300,50,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.5175685979354352,0.12060414571453376,0.8648502933948543,0.9324251466974272,0.372255576972537,0.8012422360248447,0.7888888888888889,0.7724550898203593,0.7947214076246334,0.372255576972537,0.8012422360248447,0.7888888888888889,0.7724550898203593,0.7947214076246334,0.5292666100615581,0.42857142857142855,0.9555555555555556,0.8961038961038961,0.7067448680351907,0.5699327670712461,0.37267080745341613,0.9833333333333333,0.9523809523809523,0.6950146627565983
127,5.353000000000975,436,635,161,180,500,50,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.5216658998084887,0.11957985171124241,0.8703019208586187,0.9351509604293093,0.377683260816417,0.8012422360248447,0.8055555555555556,0.7865853658536586,0.8035190615835777,0.390019717973616,0.7763975155279503,0.8277777777777777,0.8012820512820513,0.8035190615835777,0.5336521601578139,0.40993788819875776,0.9555555555555556,0.8918918918918919,0.6979472140762464,0.5877864879474737,0.32298136645962733,0.9833333333333333,0.9454545454545454,0.6715542521994134
128,8.444999999999709,436,635,161,180,1000,50,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.521566936039842,0.11960459189341804,0.8695145192838156,0.9347572596419078,0.377328998133521,0.782608695652174,0.8055555555555556,0.782608695652174,0.7947214076246334,0.401281294451159,0.7515527950310559,0.8444444444444444,0.8120805369127517,0.8005865102639296,0.5232148982326305,0.4409937888198758,0.9555555555555556,0.8987341772151899,0.7126099706744868,0.5889250557422652,0.3167701863354037,0.9833333333333333,0.9444444444444444,0.6686217008797654
129,1.3019999999996799,436,635,161,180,25,3,1,6,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.05148804082653846,0.2371207057554359,0.3214253473092934,0.6607126736546467,0.34961509337427,0.9130434782608695,0.3055555555555556,0.5404411764705882,0.592375366568915,0.383726360072583,0.6086956521739131,0.7055555555555556,0.6490066225165563,0.6598240469208211,0.4996325836511205,0.12422360248447205,0.9555555555555556,0.7142857142857143,0.5630498533724341,0.6323758151908043,0.08695652173913043,0.9833333333333333,0.8235294117647058,0.5601173020527859
130,1.3139999999984866,436,635,161,180,50,3,1,6,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.05741667134269379,0.2356385936549422,0.34862330106825823,0.6743116505341291,0.379518224962625,0.782608695652174,0.5444444444444444,0.6057692307692307,0.656891495601173,0.386879770990155,0.6335403726708074,0.7,0.6538461538461539,0.6686217008797654,0.5132835782057494,0.13043478260869565,0.9555555555555556,0.7241379310344828,0.5659824046920822,0.6388612433100213,0.06832298136645963,0.9833333333333333,0.7857142857142857,0.5513196480938416
131,1.2889999999988504,436,635,161,180,100,3,1,6,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.055310245497945276,0.23616518393996455,0.35881689151913343,0.6794084457595667,0.35315819913386,0.937888198757764,0.2833333333333333,0.5392857142857143,0.592375366568915,0.380543406493803,0.7142857142857143,0.6222222222222222,0.6284153005464481,0.6656891495601173,0.49492369308461737,0.14285714285714285,0.9555555555555556,0.7419354838709677,0.5718475073313783,0.6294418257899481,0.08695652173913043,0.9833333333333333,0.8235294117647058,0.5601173020527859
132,2.305000000000291,436,635,161,180,150,3,1,6,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.05571865951433608,0.23606308357225658,0.36074778073123026,0.6803738903656151,0.360371308969636,0.8944099378881988,0.38333333333333336,0.5647058823529412,0.624633431085044,0.385323501970725,0.6521739130434783,0.6888888888888889,0.6521739130434783,0.6715542521994134,0.5009663402087378,0.12422360248447205,0.9555555555555556,0.7142857142857143,0.5630498533724341,0.6319753254463576,0.08695652173913043,0.9833333333333333,0.8235294117647058,0.5601173020527859
133,2.2929999999996653,436,635,161,180,200,3,1,6,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.056489121164918776,0.2358704740763227,0.3638096193389839,0.681904809669492,0.377694201707976,0.8012422360248447,0.5166666666666667,0.5972222222222222,0.6510263929618768,0.386165291415932,0.6770186335403726,0.6777777777777778,0.6526946107784432,0.6774193548387096,0.4939581667872398,0.13043478260869565,0.9555555555555556,0.7241379310344828,0.5659824046920822,0.6376796644791596,0.07453416149068323,0.9833333333333333,0.8,0.5542521994134897
134,3.334000000000742,436,635,161,180,300,3,1,6,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.0554297613221536,0.2361353059017267,0.3583404383369275,0.6791702191684638,0.34804377213459,0.9316770186335404,0.26666666666666666,0.5319148936170213,0.5806451612903226,0.389858274196653,0.6335403726708074,0.6944444444444444,0.6496815286624203,0.6656891495601173,0.4967821809979119,0.13664596273291926,0.9555555555555556,0.7333333333333333,0.5689149560117303,0.611837434497413,0.08695652173913043,0.9833333333333333,0.8235294117647058,0.5601173020527859
135,4.363999999999578,436,635,161,180,500,3,1,6,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.05645335299092458,0.2358794158451418,0.35900245749536075,0.6795012287476804,0.359109798825491,0.8819875776397516,0.35,0.5482625482625483,0.6011730205278593,0.390471190035662,0.6211180124223602,0.6888888888888889,0.6410256410256411,0.656891495601173,0.4954124896194736,0.13043478260869565,0.9555555555555556,0.7241379310344828,0.5659824046920822,0.6178626824699907,0.08074534161490683,0.9833333333333333,0.8125,0.5571847507331378
