ticker,year,quarter,avg_price,sd_price,avg_pct_change,sd_pct_change,avg_range,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,yearly_amount_per_share,num_per_year,three_year_dividend,pays_dividend,dividend_yield
MARPS,2010,2010.3,16.32812509375,0.8538928463547961,-0.0029100795803246506,0.01754479541904906,0.3360937343749997,1829.6875,5.46,4.94,0,19.81,0,1.42,4,4.7700000000000005,1,0.08696650667770427
MARPS,2010,2010.4,21.81890634375,2.7519949671495785,1.858635040747292e-4,0.03284028032580926,0.8893748593749999,4657.8125,6.72,6.15,0,13.29,0,1.42,4,4.38,1,0.06508117215539344
MARPS,2011,2011.1,22.391290467741936,0.7486347866528849,-0.0022760926621733513,0.023968100468237667,0.7083871129032256,2017.741935483871,6.7,6.07,0,8.75,0,1.84,4,3.96,1,0.08217480822066957
MARPS,2011,2011.2,20.303968317460317,1.237118860594437,-0.0036032322682430476,0.01929268333384807,0.5155556349206349,2941.2698412698414,5.65,5.22,13.2,0,0,1.84,4,3.68,1,0.09062267883947098
MARPS,2011,2011.3,20.46343740625,0.7113170867881976,0.003157878391680141,0.022190066861856636,0.5182811718749996,2078.125,5.31,4.96,13.56,56.54,0,1.84,4,4.1,1,0.08991646728120184
MARPS,2011,2011.4,22.700634873015872,1.3526317657298796,-7.19552749363285e-4,0.016563690336097132,0.4758728412698411,1798.4126984126983,6.06,5.63,17.63,38.16,0,1.84,4,3.87,1,0.08105500177826298
MARPS,2012,2012.1,25.32596785483871,0.4904045972956245,-9.322554912386663e-4,0.015583195880917444,0.5461289838709678,2495.1612903225805,5.9,5.52,18.4,30.21,0,1.6,4,4.39,1,0.0631762627659779
MARPS,2012,2012.2,24.460158777777778,2.115437396668125,3.3131211412596833e-4,0.024301398591187233,0.6280954126984123,2534.9206349206347,5.58,5.19,17.96,5.59,0,1.6,4,4.59,1,0.06541249443783706
MARPS,2012,2012.3,23.76126988888889,1.3084717233198002,-0.0012939557309123995,0.021357181834462627,0.6176188253968253,1696.8253968253969,6.27,5.76,19.6,6.27,0,1.6,4,4.76,1,0.06733646844136823
MARPS,2012,2012.4,17.90322585483871,3.333675020103474,-0.007262492589817987,0.021488765921746655,0.4606452741935485,4025.8064516129034,4.56,4.15,12.46,4.54,0,1.6,4,4.89,1,0.08936936912783054
MARPS,2013,2013.1,14.8075,0.6295697274289396,-0.0023898240333379735,0.02364917378992967,0.3336666166666666,3153.3333333333335,5.31,4.81,12.65,5.29,0,1.47,4,4.86,1,0.09927401654566943
