mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
28,5.438000000000102,317,340,108.99999999999999,100,100,15,1,4,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8681570894253656,0.9340785447126828,0.477849673448493,0.8899082568807339,0.89,0.8981481481481481,0.8899521531100478,0.7257405647591538,0.4954128440366973,0.99,0.9818181818181818,0.7320574162679426
29,3.382000000000062,317,340,108.99999999999999,100,50,20,1,4,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8465827949676981,0.923291397483849,0.51819337652116,0.8623853211009175,0.91,0.912621359223301,0.8851674641148325,0.7646112932154122,0.43119266055045874,0.99,0.9791666666666666,0.6985645933014354
30,7.474999999999909,317,340,108.99999999999999,100,100,20,1,4,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8692451547092823,0.9346225773546412,0.483122331034691,0.8899082568807339,0.89,0.8981481481481481,0.8899521531100478,0.7074653240610266,0.5229357798165137,0.99,0.9827586206896551,0.7464114832535885
31,3.4420000000000073,317,340,108.99999999999999,100,50,3,1,7,0.001,0.632,4,TRUE,16,TRUE,0.8,0.6010540632437948,0.8005270316218974,0.403837959108669,0.7889908256880734,0.69,0.7350427350427351,0.7416267942583732,0.7459222077852188,0.14678899082568808,0.99,0.9411764705882353,0.5502392344497608
32,4.417000000000144,317,340,108.99999999999999,100,100,3,1,7,0.001,0.632,4,TRUE,16,TRUE,0.8,0.6150289017341042,0.8075144508670521,0.367443234669916,0.8440366972477065,0.64,0.71875,0.7464114832535885,0.7315383692835458,0.1559633027522936,0.99,0.9444444444444444,0.5550239234449761
33,3.3700000000001182,317,340,108.99999999999999,100,50,7,1,7,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8044967698061882,0.9022483849030941,0.376953618363992,0.926605504587156,0.79,0.8278688524590164,0.861244019138756,0.7381169645576009,0.44036697247706424,0.99,0.9795918367346939,0.7033492822966507
34,5.3940000000000055,317,340,108.99999999999999,100,100,7,1,7,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8208772526351582,0.9104386263175791,0.40995151374529,0.8990825688073395,0.82,0.8448275862068966,0.861244019138756,0.7238533311130136,0.4954128440366973,0.99,0.9818181818181818,0.7320574162679426
35,3.3810000000000855,317,340,108.99999999999999,100,50,10,1,7,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8475858551513089,0.9237929275756545,0.365364637628227,0.9357798165137615,0.79,0.8292682926829268,0.8660287081339713,0.7446299152647784,0.5045871559633027,0.99,0.9821428571428571,0.7368421052631579
36,5.383000000000038,317,340,108.99999999999999,100,100,10,1,7,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8637028221693304,0.9318514110846652,0.444752716654042,0.8899082568807339,0.86,0.8738738738738738,0.8755980861244019,0.7300598570475104,0.5137614678899083,0.99,0.9824561403508771,0.7416267942583732
37,3.3860000000001946,317,340,108.99999999999999,100,50,15,1,7,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8684971098265895,0.9342485549132947,0.344953067769021,0.963302752293578,0.79,0.8333333333333334,0.8803827751196173,0.7856257744733581,0.46788990825688076,0.99,0.9807692307692307,0.7177033492822966
38,6.434999999999945,317,340,108.99999999999999,100,100,15,1,7,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8855406324379465,0.9427703162189732,0.387828215199873,0.9357798165137615,0.83,0.8571428571428571,0.8851674641148325,0.7499459519665226,0.5229357798165137,0.99,0.9827586206896551,0.7464114832535885
39,3.356000000000222,317,340,108.99999999999999,100,50,20,1,7,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8690751445086706,0.9345375722543353,0.345285704122429,0.9724770642201835,0.79,0.8346456692913385,0.8851674641148325,0.806715908385575,0.44036697247706424,0.99,0.9795918367346939,0.7033492822966507
