ticker,year,quarter,avg_price,sd_price,avg_pct_change,sd_pct_change,avg_range,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,yearly_amount_per_share,num_per_year,three_year_dividend,pays_dividend,dividend_yield
FRD,2009,2009.2,5.6230158730158735,0.5165694373605075,-0.0028414703490650395,0.04018484040549433,0.29222222222222227,24342.85714285714,2.71,0.16,0.47,2.12,0.1,0.21,4,0.89,1,0.037346506704304866
FRD,2009,2009.3,5.81140625,0.3234921906640637,0.0014471811525454468,0.027895951608969183,0.23984374999999997,23267.1875,7.32,0.27,0.52,1.63,0.1,0.21,4,0.86,1,0.03613583201139999
FRD,2009,2009.4,5.83203125,0.1641348621597206,0.0026598963708182994,0.01673105573190756,0.17625000000000002,17067.1875,0,0.44,0.51,2.18,0.1,0.21,4,0.81,1,0.036008037508372406
FRD,2010,2010.1,5.663114754098361,0.13184006704598014,0.0011713602287329356,0.013579446910191034,0.12459016393442626,15075.409836065573,40.66,0.42,0.49,7.42,0.15,0.14,4,0.74,1,0.024721377912867278
FRD,2010,2010.2,5.755079365079365,0.3170726639821725,-0.002909195036867022,0.02070904677254124,0.19396825396825398,18874.603174603173,12,0.33,0.47,0,0.16,0.14,4,0.65,1,0.024326336983203245
FRD,2010,2010.3,6.02390625,0.50413722365818,0.004158096533655382,0.019230278922740124,0.149375,14796.875,7.89,0.35,0.57,0,0.22,0.14,4,0.58,1,0.023240733535652223
FRD,2010,2010.4,7.52734375,0.8447564544067744,0.002717858717947736,0.017558764191116433,0.19484374999999987,27714.0625,7.62,0.4,0.81,0,0.18,0.14,4,0.54,1,0.018598858329008823
FRD,2011,2011.1,9.4674193548387091,0.5579821240566673,-4.2532994269130545e-4,0.017517546144514444,0.2803225806451612,31600,6.64,0.41,0.91,0,0.18,0.48,4,0.54,1,0.050700194214453646
FRD,2011,2011.2,9.982222222222223,0.3783002922429629,-0.00463740371996359,0.020051044590632724,0.25444444444444453,17776.190476190477,6.71,0.4,0.95,6.7,0.22,0.48,4,0.59,1,0.048085485307212815
FRD,2011,2011.3,9.96390625,1.3330042655684973,-0.00272372838311098,0.027480892596827844,0.43499999999999983,34195.3125,5.2,0.31,0.77,7.75,0.19,0.48,4,0.65,1,0.048173877589424326
FRD,2011,2011.4,10.252857142857144,0.7910618192298993,-0.0010062110977982926,0.024733615738559443,0.3774603174603175,17015.873015873014,6.31,0.36,0.93,9.02,0.2,0.48,4,0.7,1,0.04681621847568621
FRD,2012,2012.1,10.835967741935484,0.5181412544838485,-0.002617619018252019,0.018196527375613995,0.29499999999999993,19180.645161290322,7.47,0.37,0.95,7.43,0.24,1.02,5,0.83,1,0.09413095574773381
FRD,2012,2012.2,10.653650793650794,0.5330414908117184,-0.004279898981439342,0.015408136343357123,0.24587301587301588,13922.222222222223,6.79,0.35,0.88,126.35,0.14,1.02,5,0.84,1,0.09574182782562055
FRD,2012,2012.3,9.79111111111111,0.36196199725274636,-9.37497585516124e-4,0.012298267798465873,0.18936507936507946,16206.349206349207,7.53,0.38,0.89,12.27,0.17,1.02,5,0.92,1,0.10417612346799819
