ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
CNXN,2007.1,20.39,0.19,1.61,16.17,0.62
CNXN,2006.4,23.54,0.19,1.68,17.44,0.76
CNXN,2006.3,NA,NA,1.38,NA,0.79
CNXN,2006.2,NA,NA,0.72,NA,0.86
CNXN,2006.1,NA,NA,0.72,NA,0.79
CNXN,2005.4,NA,NA,NA,NA,0.97
CNXN,2005.3,NA,NA,NA,NA,0.78
CNXN,2005.2,NA,NA,NA,NA,0.67
CNXN,2005.1,NA,NA,NA,NA,0.66
SCSC,2021.3,0,0.28,1.2,7.66,NA
SCSC,2021.2,0,0.23,0.98,6.27,1.29
SCSC,2021.1,0,0.26,1.1,5.99,1.29
SCSC,2020.4,0,0.23,0.98,2.75,1.34
SCSC,2020.3,0,0.17,0.75,2.29,1.58
SCSC,2020.2,0,0.2,0.9,3.48,1.5
SCSC,2020.1,15.06,0.2,0.6,3.7,1.31
SCSC,2019.4,20.53,0.33,1.01,6.38,1.38
SCSC,2019.3,14.34,0.25,0.85,24.32,1.45
SCSC,2019.2,14.54,0.26,0.9,81.87,1.26
SCSC,2019.1,16.36,0.29,1.01,1388.37,1.26
SCSC,2018.4,15.92,0.27,0.98,15.28,1.33
SCSC,2018.3,23.61,0.32,1.16,15.05,1.3
SCSC,2018.2,31.24,0.33,1.19,42.24,1.25
SCSC,2018.1,21.81,0.24,1.04,0,1.2
SCSC,2017.4,21.06,0.25,1.06,0,1.33
SCSC,2017.3,18.98,0.31,1.3,25.79,1.29
SCSC,2017.2,14.82,0.29,1.22,11.95,1.05
SCSC,2017.1,15.83,0.29,1.23,9.87,1.02
SCSC,2016.4,15.95,0.3,1.29,9.13,1.13
SCSC,2016.3,15.27,0.27,1.19,9.73,1.26
SCSC,2016.2,15.59,0.28,1.23,24.68,0.93
SCSC,2016.1,16.48,0.31,1.37,18.07,0.9
SCSC,2015.4,13.65,0.26,1.13,29.78,1.05
SCSC,2015.3,16.34,0.31,1.26,723.67,1.02
SCSC,2015.2,16.77,0.34,1.33,20.02,0.83
SCSC,2015.1,15.4,0.37,1.45,64.8,0.69
SCSC,2014.4,14.45,0.38,1.41,93.33,0.65
SCSC,2014.3,12.18,0.33,1.22,0,0.68
SCSC,2014.2,13.31,0.37,1.35,29.85,0.66
SCSC,2014.1,28.31,0.4,1.5,14.56,0.62
SCSC,2013.4,31.43,0.42,1.61,8.56,0.65
SCSC,2013.3,26.61,0.34,1.34,5.72,0.73
SCSC,2013.2,25.81,0.31,1.29,7.19,0.67
SCSC,2013.1,11.61,0.27,1.11,7.59,0.63
SCSC,2012.4,12.91,0.3,1.27,14.13,0.73
SCSC,2012.3,12.13,0.3,1.31,10.61,0.79
SCSC,2012.2,11.43,0.28,1.3,18.03,0.84
SCSC,2012.1,13.93,0.34,1.6,46.2,0.88
SCSC,2011.4,13.09,0.34,1.6,141.23,1.06
SCSC,2011.3,10.63,0.29,1.34,0,1.04
SCSC,2011.2,13.93,0.38,1.73,0,1.01
SCSC,2011.1,15.2,0.41,1.82,0,0.72
SCSC,2010.4,13.57,0.36,1.6,0,0.78
SCSC,2010.3,13.94,0.33,1.44,0,0.76
SCSC,2010.2,13.7,0.32,1.37,0,0.77
SCSC,2010.1,16.26,0.39,1.6,0,0.65
SCSC,2009.4,15.99,0.38,1.51,0,0.76
SCSC,2009.3,16.28,0.42,1.64,10.53,0.7
SCSC,2009.2,13.62,0.35,1.46,4.63,0.68
SCSC,2009.1,9.94,0.25,1.15,2.74,0.63
SCSC,2008.4,9.93,0.24,1.22,6.51,0.81
SCSC,2008.3,14.25,0.35,1.87,6.45,0.88
SCSC,2008.2,12.68,0.32,1.78,11.41,0.95
SCSC,2008.1,18.1,0.44,2.51,30.09,0.98
SCSC,2007.4,16.51,0.4,2.33,32.14,1.24
SCSC,2007.3,16.44,0.36,2.13,0,1.32
SCSC,2007.2,20.12,0.42,2.55,0,1.27
SCSC,2007.1,16.57,0.37,2.22,0,1.36
SCSC,2006.4,19,0.43,2.61,123.28,1.35
SCSC,2006.3,NA,NA,2.7,NA,1.44
SCSC,2006.2,NA,NA,2.76,NA,1.26
SCSC,2006.1,NA,NA,2.98,NA,1.13
SCSC,2005.4,NA,NA,NA,NA,1.07
SCSC,2005.3,NA,NA,NA,NA,1.07
SCSC,2005.2,NA,NA,NA,NA,1.07
SCSC,2005.1,NA,NA,NA,NA,1.07
TAIT,2021.3,11.17,3.03,1.71,11.29,NA
TAIT,2021.2,13.88,3.76,2.13,14.03,0.08
TAIT,2021.1,14.28,3.26,1.75,10.38,0.11
TAIT,2020.4,13.19,2.77,1.39,9.11,0.08
TAIT,2020.3,25.59,2,1.03,6.72,0.09
TAIT,2020.2,27.68,2.28,1.14,6.17,0.09
TAIT,2020.1,18.93,1.77,0.95,7.01,0.07
TAIT,2019.4,21.83,2.25,1.18,9.58,0.06
TAIT,2019.3,9.91,2.03,1.13,7.67,0.05
TAIT,2019.2,12.54,2.19,1.28,11.05,0.06
TAIT,2019.1,9.07,1.7,1.05,6.57,0.1
TAIT,2018.4,6.37,1.06,0.68,3.81,0.1
TAIT,2018.3,12.35,1.27,0.8,6.17,0.09
TAIT,2018.2,11.16,1.1,0.67,7.52,0.11
TAIT,2018.1,12.82,1.04,0.61,5.87,0.1
TAIT,2017.4,9.99,1.05,0.66,22.49,0.14
TAIT,2017.3,0,1,0.6,10.46,0.21
TAIT,2017.2,0,1.03,0.61,7.2,0.2
TAIT,2017.1,0,0.73,0.44,4.54,0.21
TAIT,2016.4,0,0.77,0.44,4.14,0.19
TAIT,2016.3,0,0.78,0.32,4.89,0.15
TAIT,2016.2,0,0.67,0.28,9.17,0.16
TAIT,2016.1,0,0.61,0.24,0,0.15
TAIT,2015.4,0,0.69,0.26,16.54,0.19
TAIT,2015.3,0,0.68,0.26,10.97,0.18
TAIT,2015.2,0,0.68,0.26,5.64,0.17
TAIT,2015.1,0,0.69,0.26,4.04,0.14
TAIT,2014.4,0,0.68,0.25,4.12,0.14
TAIT,2014.3,0,0.71,0.26,6.32,0.13
TAIT,2014.2,0,0.69,0.25,11.12,0.16
TAIT,2014.1,0,0.71,0.25,0,0.13
TAIT,2013.4,0,0.67,0.25,10.73,0.14
TAIT,2013.3,0,0.58,0.24,6.21,0.15
TAIT,2013.2,0,0.5,0.21,3.37,0.14
TAIT,2013.1,0,0.56,0.23,3.59,0.14
TAIT,2012.4,0,0.57,0.23,4.6,0.15
TAIT,2012.3,0,0.6,0.23,6.7,0.16
TAIT,2012.2,0,0.61,0.22,0,0.14
TAIT,2012.1,0,0.58,0.22,0,0.13
TAIT,2011.4,0,0.67,0.25,0,0.14
TAIT,2011.3,0,0.53,0.2,0,0.16
TAIT,2011.2,0,0.68,0.26,0,0.14
TAIT,2011.1,0,0.88,0.33,0,0.14
TAIT,2010.4,0,0.88,0.33,0,0.14
TAIT,2010.3,0,0.61,0.22,5.42,0.15
TAIT,2010.2,0,0.75,0.25,3.86,0.15
TAIT,2010.1,0,1.02,0.31,5.3,0.1
TAIT,2009.4,0,1.03,0.29,4.78,0.1
TAIT,2009.3,0,0.84,0.23,10.55,0.09
TAIT,2009.2,0,0.59,0.17,7.93,0.1
TAIT,2009.1,0,0.42,0.13,4.92,0.06
TAIT,2008.4,0,0.44,0.16,7.15,0.11
TAIT,2008.3,0,0.37,0.14,5.72,0.12
TAIT,2008.2,0,0.48,0.18,8.99,0.11
TAIT,2008.1,0,0.68,0.24,17.7,0.09
TAIT,2007.4,0,0.91,0.32,0,0.11
TAIT,2007.3,0,0.96,0.31,53.76,0.09
TAIT,2007.2,0,1.19,0.42,13.99,0.08
TAIT,2007.1,0,1.03,0.41,24.01,0.09
TAIT,2006.4,0,0.9,0.35,6.16,0.09
TAIT,2006.3,NA,NA,0.31,NA,0.09
TAIT,2006.2,NA,NA,0.3,NA,0.08
TAIT,2006.1,NA,NA,0.38,NA,0.07
TAIT,2005.4,NA,NA,NA,NA,0.07
TAIT,2005.3,NA,NA,NA,NA,0.06
TAIT,2005.2,NA,NA,NA,NA,0.11
TAIT,2005.1,NA,NA,NA,NA,0.1
WSTG,2021.3,16.85,0.41,2.36,544.17,NA
WSTG,2021.2,16.05,0.39,2.25,518.41,2.5
WSTG,2021.1,20.85,0.42,2.34,2.2,2.8
WSTG,2020.4,18.35,0.32,1.83,2.12,2.7
WSTG,2020.3,25.19,0.4,2.32,2.5,2.23
WSTG,2020.2,22.97,0.47,2.58,2.44,2.26
WSTG,2020.1,9,0.24,1.24,63.64,1.89
WSTG,2019.4,10.23,0.32,1.53,21.58,1.79
WSTG,2019.3,9.76,0.31,1.45,8.93,1.44
WSTG,2019.2,7.39,0.24,1.1,21.56,1.47
WSTG,2019.1,13.54,0.24,1.1,3.97,1.68
WSTG,2018.4,11.36,0.22,0.99,2.87,1.66
WSTG,2018.3,17.57,0.28,1.29,5.68,1.6
WSTG,2018.2,18.35,0.31,1.4,9.92,1.51
WSTG,2018.1,9.17,0.29,1.26,0,1.73
WSTG,2017.4,12.22,0.38,1.62,0,1.7
WSTG,2017.3,8.36,0,1.33,0,1.39
WSTG,2017.2,11.71,1.54,1.92,0,1.43
WSTG,2017.1,10.96,0.63,1.89,0,1.63
WSTG,2016.4,11.46,0.42,1.83,0,2.02
WSTG,2016.3,11.64,0.16,1.75,7.38,1.53
WSTG,2016.2,11.55,0.17,1.76,5.17,1.51
WSTG,2016.1,11.28,0.16,1.68,7.05,1.37
WSTG,2015.4,11.41,0.17,1.73,8.28,1.43
WSTG,2015.3,10.16,0.16,1.63,5.4,1.28
WSTG,2015.2,12.1,0.19,1.88,6.81,1.2
WSTG,2015.1,10.49,0.17,1.7,4.18,1.36
WSTG,2014.4,10.56,0.18,1.59,11.15,1.4
WSTG,2014.3,8.5,0.16,1.35,20.08,1.33
WSTG,2014.2,8.17,0.16,1.43,11.52,1.24
WSTG,2014.1,10.22,0.21,1.91,39.05,1.27
WSTG,2013.4,6.95,0.15,1.3,4.35,1.73
WSTG,2013.3,7.41,0.14,1.3,9.54,1.31
WSTG,2013.2,6.54,0.12,1.18,8.88,1.44
WSTG,2013.1,6.96,0.13,1.22,13.87,1.3
WSTG,2012.4,6.41,0.12,1.12,11.08,1.85
WSTG,2012.3,6.88,0.14,1.14,7.58,1.5
WSTG,2012.2,6.42,0.14,1.11,11.97,1.5
WSTG,2012.1,7.47,0.16,1.29,12.08,1.52
WSTG,2011.4,6.54,0.15,1.28,10.43,1.59
WSTG,2011.3,5.77,0.12,0,8.59,1.31
WSTG,2011.2,8.15,0.17,0,0,1.28
WSTG,2011.1,7.32,0.15,0,12.41,1.27
WSTG,2010.4,6.15,0.13,0,11.59,1.58
WSTG,2010.3,6.09,0.12,0,6.78,1.31
WSTG,2010.2,6.4,0.12,0,5.14,1.32
WSTG,2010.1,6.92,0.13,0,10.07,1.14
WSTG,2009.4,5.99,0.11,0,24.91,1.2
WSTG,2009.3,6.57,0.13,0,0,0.87
WSTG,2009.2,4.83,0.09,0,0,1.03
WSTG,2009.1,5.51,0.1,0,0,1
WSTG,2008.4,5.36,0.1,0,0,0.99
WSTG,2008.3,5.64,0.1,0,5.58,1.37
WSTG,2008.2,5.77,0.1,0,13.25,1.43
WSTG,2008.1,6.99,0.13,0,51.17,1.16
WSTG,2007.4,5.71,0.12,0,0,0
WSTG,2007.3,8.27,0.16,0,0,0.91
WSTG,2007.2,9.62,0.19,0,730.33,1.06
WSTG,2007.1,8.93,0.17,0,6.7,1.23
WSTG,2006.4,10.36,0.18,0,5.88,1.69
WSTG,2006.3,NA,NA,0,NA,1.53
WSTG,2006.2,NA,NA,0,NA,1.44
WSTG,2006.1,NA,NA,0,NA,1.17
WSTG,2005.4,NA,NA,NA,NA,1.46
WSTG,2005.3,NA,NA,NA,NA,1.15
WSTG,2005.2,NA,NA,NA,NA,0.74
WSTG,2005.1,NA,NA,NA,NA,0.98
